type,title,cast,release_year,listed_in,Plataforma,seasson_quantity,movie_duration
Movie,"You, Me and Him","David Tennant, Lucy Punch, Faye Marsay, Gemma Jones",2017,"Comedy, Drama",amazon,0,98
Movie,Yoga with Sound Meditations,Ann-Marie Newland,2016,"Fitness, Special Interest",amazon,0,9
Movie,Yoga to Harness Your Chakra Energy,Caroline Shola Arewa,2014,"Faith and Spirituality, Special Interest",amazon,0,18
Movie,Yoga to Ease Flight Anxiety,Anne-Marie Newland,2016,"Fitness, Special Interest",amazon,0,14
Movie,Yoga to Break Any Habit,Dr Daniel J Nightingale,2014,Special Interest,amazon,0,20
TV Show,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",Lindsey Samper,2018,Fitness,amazon,0,0
Movie,Yoga Savasana Relaxation,Anne-Marie Newland,2014,"Fitness, Special Interest",amazon,0,19
Movie,Yoga for Relaxation Anywhere,Anne-Marie Newland,2014,"Fitness, Special Interest",amazon,0,18
Movie,Yoga for Relaxation and Stress Relief Anywhere,Anne-Marie Newland,2014,"Fitness, Special Interest",amazon,0,20
Movie,Yoga for Relaxation and Stress Relief,Anne-Marie Newland,2014,Special Interest,amazon,0,20
Movie,Yoga for Mindfulness and Meditation,Anne-Marie Newland,2016,"Fitness, Special Interest",amazon,0,22
Movie,Yoga for Men's Health,Anne-Marie Newland,2016,"Fitness, Special Interest",amazon,0,60
Movie,Yoga for Breath Awareness,Anne-Marie Newland,2016,"Fitness, Special Interest",amazon,0,6
Movie,Yoga For Beginners,Anne-Marie Newland,2016,"Fitness, Special Interest",amazon,0,54
Movie,Yoga for Abdominal Breathing,Anne-Marie Newland,2019,Special Interest,amazon,0,5
Movie,Yellowneck,"Lin McCarthy, Stephen Courtleigh, Berry Kroeger, Harold Gordon, Bill Mason",1955,"Action, Military and War, Western",amazon,0,84
TV Show,Yearly Departed,"Phoebe Robinson, Rachel Brosnahan, Tiffany Haddish, Patti Harrison, Natasha Leggero, Natasha Rothwell, Sarah Silverman, Ziwe, Christina Aguilera, Sterling K Brown",2020,"Arts, Entertainment, and Culture, Comedy, Talk Show and Variety",amazon,0,0
Movie,Yatra (Telugu),"Mammootty, Suhasini Maniratnam",2019,"Drama, International",amazon,0,126
Movie,Yatra (Malayalam),"Mammootty, Suhasini Maniratnam",2019,"Drama, International",amazon,0,125
TV Show,Yancy Derringer,"Jock Mahoney, X Brands, Kevin Hagen, Framces Bergen, Charlene James, Joan Taylor, Charles Bronson, Margaret Hayes, Kelly Thordsen, Particia Blair",1959,"Action, Western",amazon,0,0
TV Show,Xploration Earth 2050,Chuck Pell,2017,"Documentary, Science Fiction",amazon,2,0
TV Show,Xiaolin Chronicles,"Tara Strong, Jennifer Hale, Eric Bauza, David Kaye, Michael Donovan, Cree Summer",2015,"Adventure, Animation, Kids",amazon,0,0
Movie,Xchange,"Stephen Baldwin, Pascale Bussières, Kim Coates, Kyle MacLachlan, Tom Rack",2001,"Fantasy, Science Fiction, Suspense",amazon,0,109
Movie,X-Ray,"Barbi Benton, Chip Lucia",1983,Suspense,amazon,0,89
TV Show,WWII in HD,"Gary Sinise, Charles Scheffel",2009,Action,amazon,0,0
Movie,Wrangler: Anatomy of an Icon,"Jack Wrangler, Margaret Whiting, Marc Shaiman, Bruce Vilanch, Christine Ebersole, Michael Musto, Chi Chi La Rue, Sharon Mitchell, Jamie Gillis, Candida Royalle, Samantha Fox, Gloria Leonard",2008,"Documentary, LGBTQ",amazon,0,85
TV Show,WPC 56,"WPC Annie Taylor, Charles De'Ath, Olly Rix, James Barriscale, Rachel Leskovac, Liam Jeavons, Mark Healy",2015,"Drama, Romance, Suspense",amazon,3,0
